"train/global_step","trl_math_grpo_qwen15b_grail_matched_final - _step","trl_math_grpo_qwen15b_grail_matched_final - _step__MIN","trl_math_grpo_qwen15b_grail_matched_final - _step__MAX","trl_math_grpo_qwen15b_grail_matched_final - train/pass@1","trl_math_grpo_qwen15b_grail_matched_final - train/pass@1__MIN","trl_math_grpo_qwen15b_grail_matched_final - train/pass@1__MAX"
"226","88374","88374","88374","0.357421875","0.357421875","0.357421875"
"227","88765","88765","88765","0.314453125","0.314453125","0.314453125"
"228","89156","89156","89156","0.287109375","0.287109375","0.287109375"
"229","89547","89547","89547","0.3203125","0.3203125","0.3203125"
"230","89938","89938","89938","0.380859375","0.380859375","0.380859375"
"231","90329","90329","90329","0.404296875","0.404296875","0.404296875"
"232","90720","90720","90720","0.40234375","0.40234375","0.40234375"
"233","91111","91111","91111","0.3046875","0.3046875","0.3046875"
"234","91502","91502","91502","0.3515625","0.3515625","0.3515625"
"235","91893","91893","91893","0.388671875","0.388671875","0.388671875"
"236","92284","92284","92284","0.44140625","0.44140625","0.44140625"
"237","92675","92675","92675","0.35546875","0.35546875","0.35546875"
"238","93066","93066","93066","0.23828125","0.23828125","0.23828125"
"239","93457","93457","93457","0.5","0.5","0.5"
"240","93849","93849","93849","0.45703125","0.45703125","0.45703125"
"241","94240","94240","94240","0.333984375","0.333984375","0.333984375"
"242","94631","94631","94631","0.37109375","0.37109375","0.37109375"
"243","95022","95022","95022","0.3828125","0.3828125","0.3828125"
"244","95413","95413","95413","0.4140625","0.4140625","0.4140625"
"245","95804","95804","95804","0.484375","0.484375","0.484375"
"246","96195","96195","96195","0.330078125","0.330078125","0.330078125"
"247","96586","96586","96586","0.369140625","0.369140625","0.369140625"
"248","96977","96977","96977","0.41015625","0.41015625","0.41015625"
"249","97368","97368","97368","0.3359375","0.3359375","0.3359375"
"250","97759","97759","97759","0.408203125","0.408203125","0.408203125"
"251","98150","98150","98150","0.357421875","0.357421875","0.357421875"
"252","98541","98541","98541","0.259765625","0.259765625","0.259765625"
"253","98932","98932","98932","0.29296875","0.29296875","0.29296875"
"254","99323","99323","99323","0.419921875","0.419921875","0.419921875"
"255","99714","99714","99714","0.451171875","0.451171875","0.451171875"
"256","100105","100105","100105","0.35546875","0.35546875","0.35546875"
"257","100496","100496","100496","0.3984375","0.3984375","0.3984375"
"258","100887","100887","100887","0.3671875","0.3671875","0.3671875"
"259","101278","101278","101278","0.482421875","0.482421875","0.482421875"
"260","101669","101669","101669","0.35546875","0.35546875","0.35546875"
"261","102060","102060","102060","0.46875","0.46875","0.46875"
"262","102451","102451","102451","0.443359375","0.443359375","0.443359375"
"263","102842","102842","102842","0.349609375","0.349609375","0.349609375"
"264","103233","103233","103233","0.326171875","0.326171875","0.326171875"
"265","103624","103624","103624","0.41796875","0.41796875","0.41796875"
"266","104015","104015","104015","0.505859375","0.505859375","0.505859375"
"267","104406","104406","104406","0.23046875","0.23046875","0.23046875"
"268","104797","104797","104797","0.26171875","0.26171875","0.26171875"
"269","105188","105188","105188","0.392578125","0.392578125","0.392578125"
"270","105579","105579","105579","0.41796875","0.41796875","0.41796875"
"271","105970","105970","105970","0.359375","0.359375","0.359375"
"272","106361","106361","106361","0.3125","0.3125","0.3125"
"273","106752","106752","106752","0.34375","0.34375","0.34375"
"274","107143","107143","107143","0.32421875","0.32421875","0.32421875"
"275","107534","107534","107534","0.271484375","0.271484375","0.271484375"
"276","107925","107925","107925","0.349609375","0.349609375","0.349609375"
"277","108316","108316","108316","0.384765625","0.384765625","0.384765625"
"278","108707","108707","108707","0.341796875","0.341796875","0.341796875"
"279","109098","109098","109098","0.455078125","0.455078125","0.455078125"
"280","109490","109490","109490","0.3671875","0.3671875","0.3671875"
"281","109881","109881","109881","0.349609375","0.349609375","0.349609375"
"282","110272","110272","110272","0.279296875","0.279296875","0.279296875"
"283","110663","110663","110663","0.3359375","0.3359375","0.3359375"
"284","111054","111054","111054","0.267578125","0.267578125","0.267578125"
"285","111445","111445","111445","0.431640625","0.431640625","0.431640625"
"286","111836","111836","111836","0.37890625","0.37890625","0.37890625"
"287","112227","112227","112227","0.400390625","0.400390625","0.400390625"
"288","112618","112618","112618","0.41015625","0.41015625","0.41015625"
"289","113009","113009","113009","0.3203125","0.3203125","0.3203125"
"290","113400","113400","113400","0.322265625","0.322265625","0.322265625"
"291","113791","113791","113791","0.302734375","0.302734375","0.302734375"
"292","114182","114182","114182","0.365234375","0.365234375","0.365234375"
"293","114573","114573","114573","0.455078125","0.455078125","0.455078125"
"294","114964","114964","114964","0.32421875","0.32421875","0.32421875"
"295","115355","115355","115355","0.357421875","0.357421875","0.357421875"
"296","115746","115746","115746","0.326171875","0.326171875","0.326171875"
"297","116137","116137","116137","0.36328125","0.36328125","0.36328125"
"298","116528","116528","116528","0.26171875","0.26171875","0.26171875"
"299","116919","116919","116919","0.341796875","0.341796875","0.341796875"
"300","117310","117310","117310","0.396484375","0.396484375","0.396484375"
"301","117701","117701","117701","0.251953125","0.251953125","0.251953125"
"302","118092","118092","118092","0.298828125","0.298828125","0.298828125"
"303","118483","118483","118483","0.431640625","0.431640625","0.431640625"
"304","118874","118874","118874","0.41015625","0.41015625","0.41015625"
"305","119265","119265","119265","0.384765625","0.384765625","0.384765625"
"306","119656","119656","119656","0.486328125","0.486328125","0.486328125"
"307","120047","120047","120047","0.373046875","0.373046875","0.373046875"
"308","120438","120438","120438","0.353515625","0.353515625","0.353515625"
"309","120829","120829","120829","0.333984375","0.333984375","0.333984375"
"310","121220","121220","121220","0.287109375","0.287109375","0.287109375"
"311","121611","121611","121611","0.501953125","0.501953125","0.501953125"
"312","122002","122002","122002","0.328125","0.328125","0.328125"
"313","122393","122393","122393","0.30078125","0.30078125","0.30078125"
"314","122784","122784","122784","0.42578125","0.42578125","0.42578125"
"315","123175","123175","123175","0.44921875","0.44921875","0.44921875"
"316","123566","123566","123566","0.431640625","0.431640625","0.431640625"
"317","123957","123957","123957","0.40625","0.40625","0.40625"
"318","124348","124348","124348","0.330078125","0.330078125","0.330078125"
"319","124739","124739","124739","0.28515625","0.28515625","0.28515625"
