model_family,model_size,experiment_type,seed,step,k,sparsity,learning_rate,iteration_num
Qwen,1.5B,SFT,1337,45,1,98.09316614326067,3e-06,1
Qwen,1.5B,SFT,1337,46,1,98.0877443498768,3e-06,1
Qwen,1.5B,SFT,1337,47,1,98.08021335792455,3e-06,1
Qwen,1.5B,SFT,1337,48,1,98.0731306354469,3e-06,1
Qwen,1.5B,SFT,1337,49,1,98.06195952693588,3e-06,1
Qwen,1.5B,SFT,1337,50,1,98.0532109521737,3e-06,1
Qwen,1.5B,SFT,1337,51,1,98.04685161484387,3e-06,1
Qwen,1.5B,SFT,1337,52,1,98.04025874984703,3e-06,1
Qwen,1.5B,SFT,1337,53,1,98.02867292729316,3e-06,1
Qwen,1.5B,SFT,1337,54,1,98.03391917005906,3e-06,1
Qwen,1.5B,SFT,1337,55,1,98.02506118386009,3e-06,1
Qwen,1.5B,SFT,1337,56,1,97.99307819330798,3e-06,1
Qwen,1.5B,SFT,1337,57,1,97.9547292579858,3e-06,1
Qwen,1.5B,SFT,1337,58,1,97.9370651086485,3e-06,1
Qwen,1.5B,SFT,1337,59,1,97.92514250097925,3e-06,1
Qwen,1.5B,SFT,1337,60,1,97.89430253280855,3e-06,1
Qwen,1.5B,SFT,1337,61,1,97.96639333336124,3e-06,1
Qwen,1.5B,SFT,1337,62,1,98.01131971631973,3e-06,1
Qwen,1.5B,SFT,1337,63,1,97.99180852832208,3e-06,1
Qwen,1.5B,SFT,1337,64,1,97.99238726235188,3e-06,1
Qwen,1.5B,SFT,1337,65,1,98.01166757861434,3e-06,1
Qwen,1.5B,SFT,1337,66,1,98.0316313114891,3e-06,1
Qwen,1.5B,SFT,1337,67,1,98.05178478154465,3e-06,1
Qwen,1.5B,SFT,1337,68,1,98.09142754435473,3e-06,1
Qwen,1.5B,SFT,1337,69,1,98.12288556730249,3e-06,1
Qwen,1.5B,SFT,1337,70,1,98.1412609881472,3e-06,1
Qwen,1.5B,SFT,1337,71,1,98.15575680511411,3e-06,1
Qwen,1.5B,SFT,1337,72,1,98.18337538705607,3e-06,1
Qwen,1.5B,SFT,1337,73,1,98.21485200152684,3e-06,1
Qwen,1.5B,SFT,1337,74,1,98.22732846815676,3e-06,1
Qwen,1.5B,SFT,1337,75,1,98.23882055574967,3e-06,1
Qwen,1.5B,SFT,1337,76,1,98.22372935659473,3e-06,1
Qwen,1.5B,SFT,1337,77,1,98.21608454824553,3e-06,1
Qwen,1.5B,SFT,1337,78,1,98.21498874962812,3e-06,1
Qwen,1.5B,SFT,1337,79,1,98.21593283623548,3e-06,1
Qwen,1.5B,SFT,1337,80,1,98.22901628046326,3e-06,1
Qwen,1.5B,SFT,1337,81,1,98.2259421365056,3e-06,1
Qwen,1.5B,SFT,1337,82,1,98.2358354826775,3e-06,1
Qwen,1.5B,SFT,1337,83,1,98.26586778844798,3e-06,1
Qwen,1.5B,SFT,1337,84,1,98.26907829183398,3e-06,1
Qwen,1.5B,SFT,1337,85,1,98.26912383134852,3e-06,1
Qwen,1.5B,SFT,1337,86,1,98.27237048131931,3e-06,1
Qwen,1.5B,SFT,1337,87,1,98.27423144742721,3e-06,1
Qwen,1.5B,SFT,1337,88,1,98.27872256342064,3e-06,1
Qwen,1.5B,SFT,1337,89,1,98.31302755098395,3e-06,1
Qwen,1.5B,SFT,1337,90,1,98.33549420813037,3e-06,1
Qwen,1.5B,SFT,1337,91,1,98.34959824275879,3e-06,1
Qwen,1.5B,SFT,1337,92,1,98.37435703387769,3e-06,1
Qwen,1.5B,SFT,1337,93,1,98.3766535080315,3e-06,1
Qwen,1.5B,SFT,1337,94,1,98.38917272868646,3e-06,1
Qwen,1.5B,SFT,1337,95,1,98.41219907488788,3e-06,1
Qwen,1.5B,SFT,1337,96,1,98.44332828051581,3e-06,1
Qwen,1.5B,SFT,1337,97,1,98.45596539863377,3e-06,1
Qwen,1.5B,SFT,1337,98,1,98.46908783971467,3e-06,1
Qwen,1.5B,SFT,2024,0,1,99.84037907832976,3e-06,1
Qwen,1.5B,SFT,2024,1,1,99.68544866187882,3e-06,1
Qwen,1.5B,SFT,2024,2,1,99.67715230809962,3e-06,1
Qwen,1.5B,SFT,2024,3,1,99.37797771419756,3e-06,1
Qwen,1.5B,SFT,2024,4,1,99.36496805305238,3e-06,1
Qwen,1.5B,SFT,2024,5,1,99.35859660208214,3e-06,1
Qwen,1.5B,SFT,2024,6,1,98.81057686953972,3e-06,1
Qwen,1.5B,SFT,2024,7,1,98.77047029033683,3e-06,1
Qwen,1.5B,SFT,2024,8,1,98.75506180449307,3e-06,1
Qwen,1.5B,SFT,2024,9,1,98.74783481957034,3e-06,1
Qwen,1.5B,SFT,2024,10,1,98.74355300396309,3e-06,1
Qwen,1.5B,SFT,2024,11,1,98.73817564885374,3e-06,1
Qwen,1.5B,SFT,2024,12,1,98.13421972411807,3e-06,1
Qwen,1.5B,SFT,2024,13,1,97.82756401795963,3e-06,1
Qwen,1.5B,SFT,2024,14,1,97.74583412812635,3e-06,1
Qwen,1.5B,SFT,2024,15,1,97.71263089883243,3e-06,1
Qwen,1.5B,SFT,2024,16,1,97.6988909859839,3e-06,1
Qwen,1.5B,SFT,2024,17,1,97.69307864105922,3e-06,1
Qwen,1.5B,SFT,2024,18,1,97.69121022538637,3e-06,1
Qwen,1.5B,SFT,2024,19,1,97.69296352908576,3e-06,1
Qwen,1.5B,SFT,2024,20,1,97.72575236823096,3e-06,1
Qwen,1.5B,SFT,2024,21,1,97.75891012278915,3e-06,1
Qwen,1.5B,SFT,2024,22,1,97.79276658176252,3e-06,1
Qwen,1.5B,SFT,2024,23,1,97.82658099927795,3e-06,1
Qwen,1.5B,SFT,2024,24,1,97.86006174106164,3e-06,1
Qwen,1.5B,SFT,2024,25,1,97.89282019893754,3e-06,1
Qwen,1.5B,SFT,2024,26,1,97.92371050025588,3e-06,1
Qwen,1.5B,SFT,2024,27,1,97.95182509366708,3e-06,1
Qwen,1.5B,SFT,2024,28,1,97.97621211910466,3e-06,1
Qwen,1.5B,SFT,2024,29,1,97.99456311833204,3e-06,1
Qwen,1.5B,SFT,2024,30,1,98.0110192073468,3e-06,1
Qwen,1.5B,SFT,2024,31,1,98.02388985313179,3e-06,1
