model,experiment,file_name,file_path,step,sample_idx,original_size_bytes,num_layers,total_nnz,total_params,sparsity_pct,method,compressed_size_bytes,compression_ratio,space_savings_pct,preprocess_time,compress_time,decompress_time,total_time,compress_speed_mb_s,decompress_speed_mb_s,is_lossless,original_hash,decompressed_hash,indices_orig_bytes,indices_comp_bytes,values_orig_bytes,values_comp_bytes,metadata_orig_bytes,metadata_comp_bytes,error_msg
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,delta-enc+zstd-3,48973427,12.753304419557978,92.15889492556582,9.199197833426297,1.3241511210799217,0.5958544919267297,10.523348954506218,449.8272449971812,999.6387689035898,True,1a7e64e86b33dd3f,5d75cea274cd9d17,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,delta-enc+zstd-9,46207601,13.51667278723256,92.60172961392858,8.478817597031593,6.60596670396626,0.5715957004576921,15.084784300997853,90.1668563357555,1042.0639103449616,True,1a7e64e86b33dd3f,5d75cea274cd9d17,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000016.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000016.pt,16,1,624573023,264,62441945,3879949824,98.39065070857988,combined+zstd-9,45908563,13.60471733780907,92.64960840295531,8.618219991214573,6.669872743077576,0.5574107570573688,15.28809273429215,89.3029408055053,1068.5822675897998,True,1a7e64e86b33dd3f,c1f1fd6e82b15442,499535256,4174284,124883890,41729261,38624,5018,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,zstd-1,102374814,3.6194519386379547,72.37150770466336,0,1.1336164521053433,0.47927207592874765,1.1336164521053433,311.72374592545816,737.3164109513881,True,425dbd3736ca6053,425dbd3736ca6053,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,zstd-3,93478750,3.9639032293435674,74.77234074239489,0,2.032072559930384,0.5467819077894092,2.032072559930384,173.89889212672185,646.2817475466039,True,425dbd3736ca6053,425dbd3736ca6053,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,zstd-9,88536355,4.185181544914515,76.106173907435,0,8.204935688525438,0.5618237964808941,8.204935688525438,43.06860898217627,628.9786390438564,True,425dbd3736ca6053,425dbd3736ca6053,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,brotli-6,85972572,4.3099875969745325,76.79807708258913,0,10.975070310756564,1.3646021289750934,10.975070310756564,32.19798660849267,258.95838749600483,True,425dbd3736ca6053,425dbd3736ca6053,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,gzip-6,102193380,3.6258779091170092,72.42047236379439,0,26.6532214442268,1.3915828242897987,26.6532214442268,13.258253514775337,253.93757433974665,True,425dbd3736ca6053,425dbd3736ca6053,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,downcast+zstd-3,92871935,3.989802936699876,74.93610547023309,0.4972727298736572,1.392166206613183,0.3437159964814782,1.8894389364868402,253.83116269765307,1028.1021846827186,True,425dbd3736ca6053,1421f757678c2c6d,0,0,0,0,0,0,
gemma3-4b,gemma3-4b-iter1,delta_000033.pt,/root/grail/research/sparsity_analysis/experiments/gemma3-4b-iter1/checkpoints/deltas_math_instance0_seed42/delta_000033.pt,33,2,370540719,260,37039035,3879944192,99.04537196497903,downcast+zstd-9,85786290,4.319346587898836,76.84835009995217,0.37680802680552006,5.524058787152171,0.3982437429949641,5.900866813957691,63.97020388611425,887.3338831025246,True,425dbd3736ca6053,1421f757678c2c6d,0,0,0,0,0,0,
